|WMHY        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |RICHFIELD SPRINGS        |NY |US |0000195188          |-.     kW |0.61   kW |0.0     |116.0   |174409     |N |42 |55 |11.2  |W |74  |57 |0.5   |MARS HILL BROADCASTING CO., INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|505.   m|110601    |0.      |-       |17.    m|195188    |25076ff381f482530182020da4e3051d        |
|WRUR-FM     |88.5  MHz |FM |203 |DA  |-                   |B1 |-  |LIC    |ROCHESTER                |NY |US |BLED-20110810ABU    |15.1   kW |15.1   kW |115.3   |115.3   |69138      |N |43 |8  |7.2   |W |77  |35 |2.0   |UNIVERSITY OF ROCHESTER BROADCAST CORP.                                     |   0.00 km |   0.00 mi |  0.00 deg |262.9  m|262.9  m|101167    |0.      |1003958 |57.9   m|1439239   |18432636a5144974b282c1b6063ebeb7        |
|WRUR-FM     |88.5  MHz |FS |203 |ND  |-                   |B1 |-  |LIC    |ROCHESTER                |NY |US |BXLED-20111220AFJ   |2.6    kW |2.6    kW |109.1   |109.1   |69138      |N |43 |8  |7.2   |W |77  |35 |2.0   |UNIVERSITY OF ROCHESTER BROADCAST CORP.                                     |   0.00 km |   0.00 mi |  0.00 deg |257.   m|257.0  m|-         |-       |1003958 |52.    m|1454174   |47c78d10c612415089ccc1b6063ebeb7        |
|WCII        |88.5  MHz |FM |203 |DA  |-                   |B  |-  |LIC    |SPENCER                  |NY |US |BLED-19940523KA     |17.    kW |17.    kW |180.0   |180.0   |20635      |N |42 |0  |50.2  |W |76  |15 |51.7  |FAMILY LIFE MINISTRIES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |561.   m|561.0  m|14549     |0.      |-       |41.    m|199495    |ca31369ee8b047e28e30c1b6063ebeb7        |
|WKWZ        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |SYOSSET                  |NY |US |BLED-19901102KA     |0.125  kW |0.125  kW |79.0    |79.0    |64351      |N |40 |47 |48.3  |W |73  |27 |42.4  |SYOSSET CENTRAL SCHOOL DISTRICT                                             |   0.00 km |   0.00 mi |  0.00 deg |116.   m|116.0  m|13962     |0.      |-       |49.    m|154029    |1f5ab5075bf14a71932dc1b6063ebeb7        |
|WBFO        |88.7  MHz |FM |204 |DA  |-                   |B  |-  |LIC    |BUFFALO                  |NY |US |BLED-20080424ACE    |50.    kW |50.    kW |117.0   |117.0   |63113      |N |43 |0  |12.2  |W |78  |45 |55.1  |WESTERN NEW YORK PUBLIC BROADCASTING ASSOCIATION                            |   0.00 km |   0.00 mi |  0.00 deg |305.   m|305.0  m|85522     |0.      |1244714 |127.   m|1244132   |fb9ef9e1c3f74c53aa73c1b6063ebeb7        |
|WBFO        |88.7  MHz |FS |204 |ND  |-                   |A  |-  |LIC    |BUFFALO                  |NY |US |BXLED-20001031ACO   |2.5    kW |2.5    kW |75.0    |75.0    |63113      |N |42 |57 |20.2  |W |78  |48 |56.1  |WESTERN NEW YORK PUBLIC BROADCASTING ASSOCIATION                            |   0.00 km |   0.00 mi |  0.00 deg |261.   m|261.0  m|-         |-       |-       |51.    m|541577    |3ea83f3ce4f34414b4dcc1b6063ebeb7        |
|WREM        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |CANTON                   |NY |US |BLED-20110513ACS    |2.6    kW |2.6    kW |71.0    |71.0    |175080     |N |44 |32 |1.2   |W |75  |5  |48.7  |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |250.3  m|250.3  m|-         |-       |1007821 |48.    m|1427328   |d99ad954d7fc41cc9f4bc1b6063ebeb7        |
|WHCL-FM     |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |CLINTON                  |NY |US |BLED-19840427CI     |0.27   kW |0.27   kW |29.0    |29.0    |68224      |N |43 |3  |4.2   |W |75  |24 |22.6  |TRUSTEES OF HAMILTON COLLEGE                                                |   0.00 km |   0.00 mi |  0.00 deg |299.   m|299.0  m|-         |-       |-       |27.    m|69156     |2c8ae469f60d4d6eb833c1b6063ebeb7        |
|WTMI        |88.7  MHz |FM |204 |DA  |-                   |A  |-  |LIC    |FLEMING                  |NY |US |BLED-20120511AAX    |0.6    kW |0.559  kW |270.8   |270.8   |172348     |N |42 |48 |5.0   |W |76  |26 |13.0  |HOLY FAMILY COMMUNICATIONS                                                  |   0.00 km |   0.00 mi |  0.00 deg |616.7  m|616.7  m|106877    |0.      |1005754 |138.7  m|1501788   |fdc58e67291d49ae945cc1b6063ebeb7        |
