|WQHE        |88.3  MHz |FM |202 |ND  |-                   |A  |-  |LIC    |OIL CITY                 |PA |US |BLED-20130104ABM    |3.6    kW |3.6    kW |105.1   |105.1   |172337     |N |41 |32 |35.4  |W |79  |41 |32.0  |HOLY FAMILY COMMUNICATIONS                                                  |   0.00 km |   0.00 mi |  0.00 deg |544.7  m|544.7  m|-         |-       |1225657 |65.6   m|1536060   |eeb1857aa68f40629f55c1b6063ebeb7        |
|WRCT        |88.3  MHz |FM |202 |DA  |-                   |A  |-  |LIC    |PITTSBURGH               |PA |US |BLED-19931202KB     |1.75   kW |1.75   kW |22.0    |22.0    |1          |N |40 |26 |39.2  |W |79  |56 |36.1  |WRCT RADIO, INC.                                                            |   0.00 km |   0.00 mi |  0.00 deg |324.   m|324.0  m|14030     |0.      |-       |36.    m|192608    |c312e471cadd40ccacdcc1b6063ebeb7        |
|WCOB        |88.3  MHz |FM |202 |ND  |-                   |B1 |-  |LIC    |STATE COLLEGE            |PA |US |BMLED-20131114AKT   |0.01   kW |1.8    kW |209.0   |209.0   |91930      |N |40 |53 |35.2  |W |77  |51 |47.0  |FAMILY LIFE MINISTRIES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |608.   m|608.0  m|-         |-       |1216090 |68.5   m|1594571   |c266f997b8be44989e85c1b6063ebeb7        |
|WLKA        |88.3  MHz |FM |202 |DA  |-                   |B1 |-  |LIC    |TAFTON                   |PA |US |BLED-20110603ABQ    |1.1    kW |1.1    kW |251.0   |251.0   |41202      |N |41 |32 |37.3  |W |75  |27 |42.6  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |690.   m|690.0  m|100938    |0.      |-       |26.    m|1430669   |de04077583744d45b73cc1b6063ebeb7        |
|WMCE-FM     |88.5  MHz |FM |203 |ND  |-                   |A  |-  |LIC    |ERIE                     |PA |US |0000146816          |0.75   kW |0.75   kW |152.0   |152.0   |41215      |N |42 |5  |25.2  |W |79  |56 |36.2  |LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE, INC.                             |   0.00 km |   0.00 mi |  0.00 deg |507.   m|507.0  m|-         |-       |1026680 |61.    m|146816    |25076f917981a39c01798fc49e5b0c18        |
|WMCE-FM     |88.5  MHz |FS |203 |ND  |-                   |A  |-  |LIC    |ERIE                     |PA |US |BXLED-20050512ACF   |0.5    kW |0.5    kW |0.0     |0.0     |41215      |N |42 |5  |37.2  |W |80  |3  |22.2  |LAKE ERIE COLLEGE OF OSTEOPATHIC MEDICINE, INC.                             |   0.00 km |   0.00 mi |  0.00 deg |289.7  m|289.7  m|-         |-       |-       |10.    m|1116186   |37f64fb47fed4db090b6c1b6063ebeb7        |
|WKHW        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |HALIFAX                  |PA |US |BLED-20080821ADY    |1.4    kW |1.4    kW |108.0   |108.0   |91925      |N |40 |27 |26.3  |W |76  |54 |11.9  |EDUCATIONAL MEDIA FOUNDATION                                                |   0.00 km |   0.00 mi |  0.00 deg |308.   m|308.0  m|83861     |0.      |1057211 |56.    m|1263217   |9c169331e2c54ac9b6edc1b6063ebeb7        |
|WXPI        |88.5  MHz |FM |203 |ND  |-                   |A  |-  |LIC    |JERSEY SHORE             |PA |US |BLED-20190430AAO    |0.11   kW |0.11   kW |-157.0  |-157.0  |175293     |N |41 |12 |8.5   |W |77  |16 |15.3  |WILLIAMSPORT INDEPENDENT MEDIA, INC.                                        |   0.00 km |   0.00 mi |  0.00 deg |184.   m|184.0  m|-         |-       |-       |17.    m|1804011   |37dc9d5a16a84dcdb511c1b6063ebeb7        |
|WCOA-FM     |88.5  MHz |FM |203 |DA  |-                   |B  |-  |LIC    |JOHNSTOWN                |PA |US |0000194887          |10.    kW |10.    kW |257.0   |257.0   |20682      |N |40 |36 |15.5  |W |79  |02 |22.4  |FAMILY LIFE MINISTRIES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |702.   m|702.0  m|1009776   |0.      |1026009 |116.   m|194887    |25076ff381d5c7200181f3eaa8190ae6        |
|WYFU        |88.5  MHz |FM |203 |DA  |-                   |B1 |-  |LIC    |MASONTOWN                |PA |US |BLED-20130509AAC    |16.    kW |16.    kW |106.0   |106.0   |81152      |N |39 |47 |13.2  |W |79  |59 |22.2  |BIBLE BROADCASTING NETWORK, INC.                                            |   0.00 km |   0.00 mi |  0.00 deg |439.   m|439.0  m|102410    |0.      |-       |43.    m|1561386   |5144358051064319bcf6c1b6063ebeb7        |
|WXPN        |88.5  MHz |FM |203 |ND  |-                   |B  |-  |LIC    |PHILADELPHIA             |PA |US |BLED-20140401AGY    |2.65   kW |2.65   kW |365.0   |365.0   |68229      |N |40 |2  |19.7  |W |75  |14 |12.8  |THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA                              |   0.00 km |   0.00 mi |  0.00 deg |428.   m|428.0  m|-         |-       |1026755 |352.   m|1631088   |78dcc47293324971ab0cc1b6063ebeb7        |
