County	Municipality	Updated	2020	2010	Percent Change	Environmental Action Communitee	Human Rights Comittee	Municipal Class	Square Miles	Website
Bucks	Durham Township	2/12/2023	1094	1144	-4.3706294	Unknown	Unknown			
Bucks	East Rockhill Township	2/12/2023	5819	5706	1.98037154	Unknown	Unknown			
Bucks	Falls Township	2/12/2023	34716	34300	1.21282799	Unknown	Unknown			
Bucks	Haycock Township	2/12/2023	2200	2225	-1.1235955	Unknown	Unknown			
Bucks	Hilltown Township	2/12/2023	16284	15029	8.35052232	Unknown	Unknown			
Bucks	Hulmeville Borough	2/12/2023	982	1003	-2.0937188	Unknown	Unknown			
Bucks	Ivyland Borough	2/12/2023	955	1041	-8.2612872	Unknown	Unknown			
Bucks	Langhorne Borough	2/12/2023	1643	1622	1.2946979	Unknown	Unknown			
Bucks	Langhorne Manor Borough	2/12/2023	1496	1442	3.74479889	Unknown	Unknown			
Bucks	Lower Makefield Township	2/12/2023	33180	32559	1.90730674	Unknown	Unknown			
Bucks	Lower Southampton Township	2/12/2023	20599	18909	8.93754297	Unknown	Unknown			
Bucks	Middletown Township	2/12/2023	46040	45436	1.32934237	Unknown	Unknown			
Bucks	Milford Township	2/12/2023	10243	9902	3.44374874	Unknown	Unknown			
Bucks	Morrisville Borough	2/12/2023	9809	8728	12.3854262	Unknown	Unknown			
Bucks	New Britain Borough	2/12/2023	2836	3152	-10.025381	Unknown	Unknown			
Bucks	New Britain Township	2/12/2023	12327	11070	11.3550136	Unknown	Unknown			
Bucks	New Hope Borough	2/12/2023	2612	2528	3.32278481	Unknown	Unknown			
Bucks	Newtown Borough	2/12/2023	2268	2248	0.88967972	Unknown	Unknown			
Bucks	Newtown Township	2/12/2023	19895	19299	3.08824291	Unknown	Unknown			
Bucks	Nockamixon Township	2/12/2023	3379	3441	-1.8018018	Unknown	Unknown			
Bucks	Northampton Township	2/12/2023	39915	39726	0.47575895	Unknown	Unknown			
Bucks	Penndel Borough	2/12/2023	2515	2328	8.03264605	Unknown	Unknown			
Bucks	Perkasie Borough	2/12/2023	9120	8511	7.15544589	Unknown	Unknown			
