County	School District	Level Up	OSTCP Eligible	School District	Last Updated	Website	Number of Students	# of students in Special Ed	District Population	# of Elementary Schools	# Of Teachers	Number of Staff	% White Teachers	% White Students	% White Special Ed	% Black Students	% Black Special Ed	% Hispanic Students	% Hispanic Special Ed	% Asian Students	% Asian Special Ed	% Multiracial students	% Multiracial students in special Ed	Yearly Budgeted Expenses	Special Ed Budget	Special Ed Staff	Underfundedness per POWER Interfait			PA % Proficient in Math	PA % Proficient in Reading
Delaware	Vision Academy Charter School	N	N	Vision Academy Charter School																											
Delaware	Wallingford-Swarthmore	N	N	Wallingford-Swarthmore School District																											
Delaware	Widener Partnership Cs	N	N	Widener Partnership Cs																											
Delaware	William Penn	Y	Y	William Penn School District																											
Elk	Johnsonburg Area	N	N	Johnsonburg Area School District																											
Elk	Ridgway Area	N	N	Ridgway Area School District																											
Elk	Saint Marys Area	N	N	Saint Marys Area School District																											
Erie	Corry Area	Y	N	Corry Area School District																											
Erie	Erie City	Y	Y	Erie City School District																											
Erie	Erie County Technical School	N	N	Erie County Technical School																											
Erie	Erie Rise Leadership Academy Charter School	N	N	Erie Rise Leadership Academy Charter School																											
Erie	Fairview	N	N	Fairview School District																											
Erie	Fort Leboeuf	N	N	Fort Leboeuf School District																											
Erie	General Mclane	N	N	General Mclane School District																											
Erie	Girard	Y	N	Girard School District																											
Erie	Harbor Creek	N	N	Harbor Creek School District																											
Erie	Iroquois	N	N	Iroquois School District																											
Erie	Millcreek Township	N	N	Millcreek Township School District																											
Erie	Montessori Regional Cs	N	N	Montessori Regional Cs																											
Erie	North East	N	N	North East School District																											
Erie	Northwestern	Y	N	Northwestern School District																											
Erie	Perseus House Cs Of Excellence	N	N	Perseus House Cs Of Excellence																											
Erie	Robert Benjamin Wiley Community Cs	N	N	Robert Benjamin Wiley Community Cs																											
Erie	Union City Area	N	N	Union City Area School District																											
Erie	Wattsburg Area	N	N	Wattsburg Area School District																											
Fayette	Albert Gallatin Area	Y	N	Albert Gallatin Area School District																											
Fayette	Brownsville Area	Y	Y	Brownsville Area School District																											
Fayette	Connellsville Area	Y	N	Connellsville Area School District																											
Fayette	Connellsville Area Career & Technical Center	N	N	Connellsville Area Career & Technical Center																											
Fayette	Fayette County Career & Technical Institute	N	N	Fayette County Career & Technical Institute School District																											
Fayette	Frazier	N	N	Frazier School District																											
Fayette	Laurel Highlands	Y	N	Laurel Highlands School District																											
Fayette	Uniontown Area	Y	Y	Uniontown Area School District																											
Forest	Forest Area	N	Y	Forest Area School District																											
Franklin	Chambersburg Area	N	Y	Chambersburg Area School District																											
Franklin	Fannett-Metal	Y	N	Fannett-Metal School District																											
Franklin	Franklin County Career And Technical Center	N	N	Franklin County Career And Technical Center																											
Franklin	Greencastle-Antrim	N	N	Greencastle-Antrim School District																											
Franklin	Shippensburg Area	N	N	Shippensburg Area School District																											
Franklin	Tuscarora	N	N	Tuscarora School District																											
Franklin	Waynesboro Area	N	N	Waynesboro Area School District																											
Fulton	Central Fulton	N	N	Central Fulton School District																											
Fulton	Forbes Road	N	N	Forbes Road School District																											
Fulton	Fulton County Avts	N	N	Fulton County Avts School District																											
Fulton	Southern Fulton	N	N	Southern Fulton School District																											
Greene	Carmichaels Area	N	N	Carmichaels Area School District																											
Greene	Central Greene	N	N	Central Greene School District																											
Greene	Greene County Career And Technical Center	N	N	Greene County Career And Technical Center																											
Greene	Jefferson-Morgan	N	N	Jefferson-Morgan School District																											
Greene	Southeastern Greene	N	N	Southeastern Greene School District																											
Greene	West Greene	N	Y	West Greene School District																											
Huntingdon	Huntingdon Area	Y	N	Huntingdon Area School District																											
Huntingdon	Huntingdon County Career And Technical Center	N	N	Huntingdon County Career And Technical Center																											
Huntingdon	Juniata Valley	N	N	Juniata Valley School District																											
Huntingdon	Mount Union Area	Y	Y	Mount Union Area School District																											
Huntingdon	New Day Charter School	N	N	New Day Charter School																											
Huntingdon	Southern Huntingdon County	Y	Y	Southern Huntingdon County School District																											
Huntingdon	Stone Valley Community Cs	N	N	Stone Valley Community Cs																											
Indiana	Blairsville-Saltsburg	N	N	Blairsville-Saltsburg School District																											
Indiana	Homer-Center	N	N	Homer-Center School District																											
Indiana	Indiana Area	N	N	Indiana Area School District																											
Indiana	Indiana County Technology Center	N	N	Indiana County Technology Center																											
Indiana	Marion Center Area	N	N	Marion Center Area School District																											
Indiana	Penns Manor Area	N	Y	Penns Manor Area School District																											
Indiana	Purchase Line	N	Y	Purchase Line School District																											
Indiana	United	N	N	United School District																											
Jefferson	Brockway Area	N	N	Brockway Area School District																											
Jefferson	Brookville Area	N	N	Brookville Area School District																											
Jefferson	Jefferson County-Dubois Avts	N	N	Jefferson County-Dubois Avts School District																											
Jefferson	Punxsutawney Area	Y	N	Punxsutawney Area School District																											
Juniata	Juniata County	N	Y	Juniata County School District																											
Lackawanna	Abington Heights	N	N	Abington Heights School District																											
Lackawanna	Carbondale Area	Y	Y	Carbondale Area School District																											
Lackawanna	Career And Technical Center Of Lackawanna County	N	N	Career And Technical Center Of Lackawanna County																											
Lackawanna	Dunmore	N	Y	Dunmore School District																											
Lackawanna	Fell Cs	N	N	Fell Cs																											
Lackawanna	Howard Gardner Multiple Intelligence Cs	N	N	Howard Gardner Multiple Intelligence Cs																											
Lackawanna	Lakeland	N	N	Lakeland School District																											
Lackawanna	Mid Valley	Y	N	Mid Valley School District																											
Lackawanna	North Pocono	N	N	North Pocono School District																											
Lackawanna	Old Forge	N	N	Old Forge School District																											
Lackawanna	Riverside	N	N	Riverside School District																											
Lackawanna	Scranton	Y	Y	Scranton School District																											
Lackawanna	Valley View	N	N	Valley View School District																											
Lancaster	Cocalico	N	N	Cocalico School District																											
Lancaster	Columbia Borough	Y	Y	Columbia Borough School District																											
