LEA,discipline: American Indian or Alaska Native,discipline: Asian or Pacific Islander,discipline: Asian,discipline: Hawaiian/ Pacific Islander,discipline: Hispanic,discipline: Black,discipline: White,discipline: Two or more races,discipline: Total,cumulative: American Indian or Alaska Native,percent: American Indian or Alaska Native,cumulative: Asian or Pacific Islander,percent: Asian or Pacific Islander,cumulative: Asian,percent: Asian,cumulative: Hawaiian/ Pacific Islander,percent: Hawaiian/ Pacific Islander,cumulative: Hispanic,percent: Hispanic,cumulative: Black,percent: Black,cumulative: White,percent: White,cumulative: Two or more races,percent: Two or more races,cumulative: Total,percent: Total,Ratio of black to white discipline,Lea State,School State,School,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,EL,type
Upper Dublin,0,0,16,0,16,110,151,8,301,8,0,495,0,930,1.7204301075268817,0,NaN,198,8.080808080808081,997,11.033099297893681,9948,1.517893043827905,216,3.7037037037037037,12792,2.3530331457160725,7.268693497711679,,,,,,,,,,,,,,,,,,
SPRINGFIELD,0,0,2,0,8,117,354,6,487,12,0,285,0,451,0.4434589800443459,8,0,177,4.519774011299435,861,13.588850174216027,12643,2.799968361939413,136,4.411764705882353,14588,3.338360296133809,4.8532156144806,,,,,,,,,,,,,,,,,,
Lower Moreland,0,0,14,0,8,6,76,0,104,4,0,215,0,669,2.092675635276532,6,0,100,8,79,7.594936708860759,5207,1.4595736508546189,51,0,6331,1.6427104722792607,5.203530979347101,,,,,,,,,,,,,,,,,,
CHELTENHAM TOWNSHIP,8,25,24,0,41,1070,238,2,1423,24,33.333333333333336,370,6.756756756756757,707,3.3946251768033946,16,0,447,9.172259507829978,6430,16.640746500777606,5204,4.573405073020753,66,3.0303030303030303,13259,10.732332755109736,3.6385901172288513,,,,,,,,,,,,,,,,,,
SCHOOL DISTRICT OF UPPER DUBLIN,0,5,0,0,0,20,25,0,55,0,NaN,490,1.0204081632653061,0,NaN,0,NaN,60,0,380,5.2631578947368425,3275,0.7633587786259542,0,NaN,4210,1.3064133016627077,6.894736842105263,,,,,,,,,,,,,,,,,,
PERKIOMEN VALLEY,0,10,25,2,44,137,995,0,1218,42,0,325,3.076923076923077,656,3.8109756097560976,26,7.6923076923076925,531,8.286252354048964,899,15.239154616240267,14875,6.689075630252101,12,0,17361,7.0157249006393645,2.2782153257947133,,,,,,,,,,,,,,,,,,
Pottsgrove,8,5,4,0,87,493,755,51,1398,20,40,75,6.666666666666667,136,2.9411764705882355,10,0,486,17.901234567901234,1492,33.042895442359246,7238,10.431058303398729,400,12.75,9872,14.161264181523501,3.167741420023791,,,,,,,,,,,,,,,,,,
UPPER MORELAND TOWNSHIP,0,0,4,0,14,126,476,14,649,2,0,145,0,245,1.6326530612244898,16,0,356,3.932584269662921,668,18.862275449101798,7134,6.672273619287917,188,7.446808510638298,8754,7.413753712588531,2.826963719619585,,,,,,,,,,,,,,,,,,
COLONIAL IU 20,0,0,0,0,28,18,26,0,72,6,0,0,NaN,54,0,2,0,543,5.156537753222836,389,4.627249357326479,1581,1.644528779253637,67,0,2642,2.7252081756245268,2.813723551512755,,,,,,,,,,,,,,,,,,
SOUDERTON CS COLLABORATIVE,0,0,0,0,0,0,0,2,2,0,NaN,0,NaN,44,0,0,NaN,14,0,20,0,299,0,8,25,385,0.5194805194805194,NaN,,,,,,,,,,,,,,,,,,
